iter	Passed	Remaining
697	1129	488
698	1130	486
699	1132	485
700	1133	483
701	1134	481
702	1136	480
703	1137	478
704	1139	476
705	1140	474
706	1141	473
707	1143	471
708	1144	469
709	1145	468
710	1147	466
711	1148	464
712	1149	462
713	1151	461
714	1152	459
715	1154	457
716	1155	456
717	1157	454
718	1158	452
719	1160	451
720	1161	449
721	1162	447
722	1163	445
723	1165	444
724	1166	442
725	1167	440
726	1169	439
727	1171	437
728	1172	435
729	1174	434
730	1175	432
731	1176	430
732	1177	429
733	1179	427
734	1180	425
735	1182	423
736	1183	422
737	1185	420
738	1186	419
739	1187	417
740	1189	415
741	1190	414
742	1192	412
743	1193	410
744	1194	408
745	1196	407
746	1197	405
747	1199	403
748	1200	402
749	1201	400
750	1203	398
751	1204	397
752	1205	395
753	1207	393
754	1208	392
755	1209	390
756	1211	388
757	1213	387
758	1214	385
759	1216	384
760	1217	382
761	1218	380
762	1219	378
763	1221	377
764	1222	375
765	1223	373
766	1224	371
767	1225	370
768	1226	368
769	1227	366
770	1228	364
771	1229	363
772	1230	361
773	1231	359
774	1232	357
775	1233	356
776	1234	354
777	1235	352
778	1236	350
779	1237	349
780	1238	347
781	1239	345
782	1241	344
783	1242	342
784	1243	340
785	1244	338
786	1245	337
787	1246	335
788	1247	333
789	1248	331
790	1249	330
791	1250	328
792	1251	326
793	1252	325
794	1254	323
795	1255	321
796	1257	320
797	1259	318
798	1260	316
799	1261	315
800	1262	313
801	1263	311
802	1264	310
803	1265	308
804	1266	306
805	1267	304
806	1268	303
807	1269	301
808	1270	300
809	1271	298
810	1272	296
811	1273	294
812	1274	293
813	1275	291
814	1276	289
815	1277	288
816	1278	286
817	1279	284
818	1280	283
819	1281	281
820	1282	279
821	1283	277
822	1284	276
823	1285	274
824	1286	272
825	1287	271
826	1288	269
827	1290	267
828	1291	266
829	1292	264
830	1293	262
831	1294	261
832	1295	259
833	1296	258
834	1297	256
835	1298	254
836	1299	253
837	1300	251
838	1302	249
839	1303	248
840	1304	246
841	1305	244
842	1306	243
843	1306	241
844	1308	239
845	1309	238
846	1310	236
847	1310	234
848	1311	233
849	1312	231
850	1313	230
851	1315	228
852	1316	226
853	1317	225
854	1318	223
855	1319	221
856	1320	220
857	1321	218
858	1322	217
859	1323	215
860	1324	213
861	1325	212
862	1326	210
863	1327	209
864	1328	207
865	1329	205
866	1331	204
867	1332	202
868	1333	200
869	1334	199
870	1335	197
871	1336	196
872	1337	194
873	1338	192
874	1339	191
875	1340	189
876	1341	188
877	1342	186
878	1343	184
879	1344	183
880	1345	181
881	1347	180
882	1348	178
883	1349	177
884	1350	175
885	1351	173
886	1352	172
887	1353	170
888	1354	169
889	1355	167
890	1356	165
891	1357	164
892	1358	162
893	1360	161
894	1361	159
895	1362	158
896	1363	156
897	1364	154
898	1365	153
899	1366	151
900	1367	150
901	1368	148
902	1369	147
903	1370	145
904	1371	143
905	1372	142
906	1373	140
907	1374	139
908	1375	137
909	1376	136
910	1377	134
911	1378	133
912	1379	131
913	1380	129
914	1381	128
915	1382	126
916	1383	125
917	1384	123
918	1385	122
919	1386	120
920	1387	118
921	1388	117
922	1389	115
923	1390	114
924	1391	112
925	1392	111
926	1393	109
927	1394	108
928	1395	106
929	1396	105
930	1397	103
931	1398	102
932	1399	100
933	1400	98
934	1401	97
935	1402	95
936	1403	94
937	1405	92
938	1406	91
939	1407	89
